#datatype measurement,dateTime:2006-01-02 15:04:05,tag,double
pcm_data,time,metric,value
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(total_)_core_c6-state_residency_(%),0
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(socket0)_core_c6-state_residency_(%),0
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(7)_core_c6-state_residency_(%),0
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(6)_core_c6-state_residency_(%),0
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(5)_core_c6-state_residency_(%),0
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(4)_core_c6-state_residency_(%),0
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(3)_core_c6-state_residency_(%),0
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(2)_core_c6-state_residency_(%),0
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(1)_core_c6-state_residency_(%),0
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(0)_core_c6-state_residency_(%),0
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(total_)_core_c7-state_residency_(%),16.5
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(socket0)_core_c7-state_residency_(%),16.5
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(7)_core_c7-state_residency_(%),19.3
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(6)_core_c7-state_residency_(%),19.4
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(5)_core_c7-state_residency_(%),20
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(4)_core_c7-state_residency_(%),20
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(3)_core_c7-state_residency_(%),13.8
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(2)_core_c7-state_residency_(%),13.8
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(1)_core_c7-state_residency_(%),12.6
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_core_counters(0)_core_c7-state_residency_(%),12.6
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_qpi_counters(total_)_qpi_link_bandwidth,0
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_qpi_counters(socket0)_qpi_link_bandwidth,0
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_socket_counters(total_)_memory_read_bandwidth,5643379392
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_socket_counters(socket0)_memory_read_bandwidth,5643379392
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_socket_counters(total_)_memory_write_bandwidth,1048815552
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_socket_counters(socket0)_memory_write_bandwidth,1048815552
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_socket_counters(total_)_package/socket_consumed_energy,39
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_socket_counters(socket0)_package/socket_consumed_energy,39
pcm_data,2024-11-13 16:26:49,__desktop-qb9csk1_pcm_socket_counters(total_)_dram/memory_consumed_energy,0
